,Target_encoded,Application mode,Application order,Course,Previous qualification,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Debtor,Tuition fees up to date,Gender,Scholarship holder,Inflation rate,Total Curricular units (grade),Total Curricular units (approved),Total Curricular units (without evaluations)
73,1,7,4,10,0,22,26,5,7,0,1,1,0,0.262002410774717,1.0,0.2958370724829093,0.0
74,0,0,2,14,0,22,27,9,9,0,1,1,0,0.5657081587484707,1.0,0.5239995654055677,0.0
75,1,7,3,8,0,12,13,4,7,1,1,1,0,0.5657081587484707,1.0,0.5239995654055677,0.0
76,1,8,4,10,0,12,26,7,7,0,1,1,1,0.0,1.0,0.2958370724829093,0.0
77,0,7,4,14,0,0,13,9,8,1,1,1,1,0.5657081587484707,1.0,0.6906959960353908,0.0
78,0,7,4,11,0,22,26,9,9,0,1,1,1,0.16953387213106524,1.0,0.7629347951689582,0.0
79,0,11,1,2,0,21,26,9,6,0,1,1,0,0.5657081587484707,1.0,0.6906959960353908,0.0
80,1,0,6,15,0,12,13,9,9,0,1,1,0,0.5657081587484707,1.0,0.6457112531348923,0.0
81,1,11,1,16,1,2,2,2,2,0,1,1,0,0.5657081587484707,0.0,0.0,0.0
82,1,11,1,3,3,2,2,4,2,1,1,1,0,0.262002410774717,1.0,0.819836637888477,0.0
83,0,7,1,10,0,12,13,4,4,0,1,1,0,1.0,1.0,0.5239995654055677,0.0
84,0,11,1,2,0,21,26,9,6,0,1,0,0,0.0,1.0,0.6457112531348923,0.0
85,0,12,1,11,0,21,27,9,7,0,1,0,1,0.5657081587484707,1.0,0.7292305501170816,0.0
86,0,11,1,13,0,0,13,4,5,0,1,0,1,0.0,1.0,0.6457112531348923,0.0
87,0,7,1,4,0,12,27,4,0,0,1,1,0,0.8277105695231877,1.0,0.6457112531348923,0.0
88,0,0,6,8,0,22,26,9,9,0,1,1,0,0.30370574797375377,1.0,0.6457112531348923,0.0
89,0,13,2,6,0,22,13,9,6,1,1,1,0,0.8626475888460029,0.75,0.0,0.0
90,1,11,1,11,0,0,0,4,10,0,1,1,0,0.0,0.0,0.0,0.0
91,0,7,2,14,0,12,0,9,9,0,0,0,0,0.5657081587484707,1.0,0.6906959960353908,0.0
92,1,5,1,7,0,0,0,4,4,0,1,0,0,0.5657081587484707,0.75,0.0,0.0
93,1,11,1,15,7,21,23,0,0,0,1,0,0,0.8277105695231877,0.75,0.0,0.3413030972429926
94,0,11,1,2,0,21,13,9,9,0,1,0,0,1.0,1.0,0.6906959960353908,0.0
95,0,5,1,6,0,22,2,9,2,0,1,1,0,0.0,1.0,0.5239995654055677,0.0
96,0,0,5,14,0,21,0,5,5,0,1,0,0,0.5657081587484707,1.0,0.6906959960353908,0.0
97,0,0,5,11,0,21,26,7,7,0,1,0,1,0.262002410774717,1.0,0.7629347951689582,0.0
98,0,0,1,5,0,0,1,9,1,0,1,0,0,1.0,1.0,0.6457112531348923,0.0
99,1,0,4,11,0,2,2,2,2,1,0,0,0,0.0,0.75,0.0,0.0
100,1,16,1,5,15,22,27,9,9,0,1,0,0,0.5657081587484707,1.0,0.6457112531348923,0.0
101,0,0,4,1,0,0,0,9,10,0,1,0,0,0.16953387213106524,0.0,0.0,0.0
102,1,11,1,2,0,21,26,6,5,0,1,0,0,0.0,0.0,0.0,0.0
103,0,11,1,3,8,21,26,9,6,0,1,0,0,0.8626475888460029,1.0,0.887511217448728,0.3413030972429926
104,1,8,1,15,0,12,13,9,7,0,1,0,0,0.30370574797375377,0.0,0.0,0.0
105,0,15,1,4,0,2,0,2,8,1,1,0,0,0.30370574797375377,1.0,0.8443337464867926,0.0
106,1,0,2,9,0,21,27,4,7,0,1,0,0,0.16953387213106524,0.0,0.0,0.0
107,1,0,1,5,0,0,0,4,4,0,1,0,0,0.8626475888460029,1.0,0.5916741449658186,0.0
108,1,0,5,11,0,2,3,4,3,0,1,0,0,0.262002410774717,1.0,0.6457112531348923,0.0
109,0,7,2,15,0,12,0,9,3,0,1,0,0,0.16953387213106524,1.0,0.5239995654055677,0.0
110,0,0,1,9,0,21,26,6,7,0,1,0,0,0.0,1.0,0.6906959960353908,0.0
111,0,7,2,8,0,0,27,4,7,0,1,0,1,0.5657081587484707,1.0,0.5239995654055677,0.0
112,0,0,1,5,0,12,13,9,9,0,1,0,0,0.5657081587484707,1.0,0.6457112531348923,0.0
113,0,0,3,14,0,0,27,4,7,0,1,0,0,0.5657081587484707,1.0,0.6906959960353908,0.0
114,1,7,2,11,0,21,26,9,9,0,1,0,0,0.8277105695231877,1.0,0.6906959960353908,0.3413030972429926
115,0,13,1,11,0,22,27,9,5,0,1,0,0,0.0,1.0,0.7292305501170816,0.0
116,0,7,1,9,0,12,26,9,7,0,1,0,1,0.8277105695231877,1.0,0.5916741449658186,0.0
117,0,7,1,8,0,12,13,3,3,0,1,0,0,0.262002410774717,1.0,0.5239995654055677,0.0
118,0,0,2,5,0,21,27,9,7,0,1,0,0,0.0,1.0,0.6457112531348923,0.0
119,0,0,1,8,0,1,13,4,5,0,1,0,0,0.30370574797375377,1.0,0.6457112531348923,0.0
120,1,7,1,10,0,0,0,4,5,0,1,0,0,0.0,1.0,0.4333934776341723,0.0
121,0,0,2,8,0,12,13,9,7,0,1,0,0,0.16953387213106524,1.0,0.5916741449658186,0.5
122,1,0,1,1,0,2,13,2,9,0,1,0,0,0.5657081587484707,0.0,0.0,0.0
123,0,0,1,13,0,22,27,9,9,0,1,0,1,0.0,1.0,0.6457112531348923,0.0
124,0,0,1,5,0,12,27,4,7,0,1,0,0,0.8626475888460029,1.0,0.6906959960353908,0.0
125,1,7,6,12,0,0,0,4,5,0,1,0,0,0.0,0.75,0.0,0.0
126,0,14,1,5,13,21,26,9,9,0,1,0,0,0.262002410774717,1.0,0.6457112531348923,0.0
127,0,0,1,15,0,12,27,9,3,0,1,0,1,0.0,1.0,0.6457112531348923,0.0
128,0,7,3,9,0,0,28,5,3,0,1,0,0,0.262002410774717,1.0,0.6906959960353908,0.0
129,0,7,6,11,0,0,26,8,9,0,1,0,0,0.262002410774717,1.0,0.7629347951689582,0.0
130,1,0,3,11,0,12,13,5,8,0,1,0,1,0.0,1.0,0.7292305501170816,0.0
131,0,7,2,4,0,21,26,9,9,0,1,0,0,0.8277105695231877,1.0,0.6906959960353908,0.0
132,0,0,4,8,0,0,13,4,8,0,1,0,0,0.5657081587484707,1.0,0.6457112531348923,0.0
133,1,7,6,11,0,0,13,3,3,0,1,0,0,0.0,0.75,0.0,0.0
134,0,13,1,9,0,22,26,9,7,0,1,0,0,0.8277105695231877,1.0,0.7292305501170816,0.0
135,1,0,1,13,0,0,27,3,9,1,0,0,1,0.262002410774717,1.0,0.5916741449658186,0.0
136,0,7,1,13,0,12,13,5,5,0,1,0,0,0.8277105695231877,1.0,0.5916741449658186,0.0
137,0,0,1,14,0,0,0,19,38,1,1,0,1,0.5657081587484707,1.0,0.6906959960353908,0.0
138,0,0,2,11,0,12,0,4,7,0,1,0,1,0.30370574797375377,1.0,0.7292305501170816,0.0
139,0,8,1,11,0,12,0,4,8,0,1,0,0,0.0,1.0,0.7629347951689582,0.0
140,0,0,5,11,0,21,26,9,9,0,1,0,0,0.8277105695231877,1.0,0.6906959960353908,0.0
141,0,0,6,14,0,12,0,4,4,0,1,0,1,0.262002410774717,1.0,0.6457112531348923,0.0
142,0,15,1,8,0,2,0,3,3,1,0,0,0,0.5657081587484707,0.0,0.0,0.0
143,0,0,3,9,0,0,9,9,10,0,1,0,1,0.262002410774717,1.0,0.6906959960353908,0.0
144,0,0,3,11,0,12,13,9,7,0,1,0,1,0.8626475888460029,1.0,0.7629347951689582,0.0
145,0,7,5,15,0,21,27,5,6,0,1,0,1,0.0,1.0,0.6457112531348923,0.0
146,1,0,4,10,0,9,13,9,9,0,1,0,0,0.8277105695231877,0.0,0.0,0.0
147,1,7,1,10,0,0,26,9,10,0,1,0,0,0.8277105695231877,1.0,0.5239995654055677,0.0
148,0,0,1,8,0,2,13,2,10,0,1,0,0,0.0,1.0,0.6457112531348923,0.0
149,0,0,1,11,0,0,13,9,9,0,1,0,1,0.30370574797375377,1.0,0.7292305501170816,0.0
150,0,0,1,1,0,2,26,2,8,0,1,0,0,0.0,0.0,0.0,0.0
151,0,0,1,5,0,0,27,4,7,0,1,0,0,0.8277105695231877,1.0,0.6457112531348923,0.0
152,0,7,1,15,0,22,27,7,6,0,1,0,0,0.0,1.0,0.6457112531348923,0.0
153,0,0,1,15,0,21,26,9,9,0,1,0,0,0.8277105695231877,1.0,0.6457112531348923,0.0
154,1,13,1,15,0,2,26,2,5,0,1,0,0,0.0,1.0,0.5239995654055677,0.0
155,1,0,1,15,0,22,26,6,6,0,1,0,0,0.8277105695231877,1.0,0.5916741449658186,0.0
156,0,0,1,8,0,22,27,9,9,0,1,0,1,0.262002410774717,1.0,0.6457112531348923,0.0
157,0,7,2,9,0,0,26,7,9,0,1,0,1,1.0,1.0,0.6906959960353908,0.0
158,0,0,3,9,0,12,0,9,10,0,1,0,0,0.0,1.0,0.6906959960353908,0.0
159,0,11,1,2,0,0,13,6,8,0,1,0,1,0.30370574797375377,1.0,0.6457112531348923,0.0
160,1,0,1,13,0,12,0,4,1,0,1,0,0,0.5657081587484707,1.0,0.6906959960353908,0.0
161,0,0,1,11,0,12,26,9,7,0,1,0,1,0.8626475888460029,1.0,0.7292305501170816,0.0
162,0,0,2,11,0,12,13,9,9,0,1,0,0,0.8626475888460029,1.0,0.7629347951689582,0.0
163,1,7,5,15,0,9,9,4,4,0,1,0,0,0.5657081587484707,1.0,0.5239995654055677,0.0
164,0,7,2,13,0,0,13,5,4,0,1,0,0,0.8277105695231877,1.0,0.6457112531348923,0.0
165,0,7,1,14,0,12,26,7,7,0,1,0,1,0.8626475888460029,1.0,0.6906959960353908,0.0
166,0,11,1,3,0,0,26,6,6,1,1,0,0,0.5657081587484707,0.0,0.0,0.0
167,0,7,3,9,0,12,13,7,8,0,1,0,0,0.0,1.0,0.5916741449658186,0.0
168,0,11,1,11,2,1,1,1,1,0,1,0,0,1.0,1.0,0.7292305501170816,0.0
169,1,13,1,9,0,12,13,4,8,0,1,0,0,0.16953387213106524,1.0,0.4333934776341723,0.0
170,0,11,1,5,0,21,13,9,7,0,1,0,0,1.0,1.0,0.5916741449658186,0.0
171,0,7,2,12,0,21,26,3,10,0,1,0,0,0.8626475888460029,1.0,0.7629347951689582,0.0
172,0,7,1,11,0,1,27,4,5,0,1,0,0,0.8277105695231877,1.0,0.6906959960353908,0.0
173,0,12,1,2,0,12,1,4,6,0,1,0,0,0.0,1.0,0.6457112531348923,0.0
174,1,7,2,10,0,21,26,9,8,1,0,0,0,0.30370574797375377,1.0,0.6906959960353908,0.0
175,0,0,1,13,0,21,26,9,9,0,1,0,1,0.8277105695231877,1.0,0.5916741449658186,0.0
176,0,11,1,15,0,21,13,9,5,0,1,0,0,0.8277105695231877,1.0,0.6457112531348923,0.0
177,1,0,2,11,0,18,23,11,11,0,1,0,0,0.8277105695231877,1.0,0.5916741449658186,0.0
178,1,0,5,15,0,21,13,9,5,0,1,0,0,0.0,1.0,0.6457112531348923,0.0
179,1,3,1,11,2,0,0,9,5,0,1,0,0,0.16953387213106524,1.0,0.6906959960353908,0.0
180,0,13,1,15,0,2,0,3,3,0,1,0,0,0.262002410774717,1.0,0.9865330685183,0.0
181,0,14,1,16,13,21,13,9,8,0,1,0,1,0.0,1.0,0.6906959960353908,0.3413030972429926
182,1,11,1,14,11,12,13,3,4,1,0,0,0,0.30370574797375377,0.75,0.0,0.0
183,1,8,3,4,0,0,26,5,5,0,0,0,0,0.8626475888460029,0.75,0.0,0.0
184,1,7,2,10,0,0,13,4,6,0,1,0,0,0.30370574797375377,0.0,0.0,0.0
185,1,8,2,8,0,2,2,5,7,1,0,0,0,0.5657081587484707,1.0,0.5239995654055677,0.0
186,0,13,1,9,0,0,26,5,9,1,0,0,0,0.0,1.0,0.5916741449658186,0.0
187,0,7,3,11,0,22,0,9,4,0,1,0,1,0.8277105695231877,1.0,0.6906959960353908,0.0
188,1,11,1,5,0,0,13,9,9,0,1,0,0,0.5657081587484707,0.75,0.0,0.0
189,0,7,4,4,0,0,2,4,1,0,1,0,0,0.16953387213106524,1.0,0.6906959960353908,0.0
190,0,0,1,10,0,12,27,9,8,0,1,0,1,0.0,1.0,0.6906959960353908,0.0
191,0,0,1,2,0,0,26,7,3,0,1,0,0,0.0,1.0,0.2958370724829093,0.0
192,1,11,1,8,0,9,2,4,3,0,1,0,0,0.8277105695231877,0.0,0.0,0.0
193,1,15,1,15,0,0,0,4,10,0,1,0,0,0.262002410774717,0.0,0.0,0.0
194,0,0,4,11,0,22,27,9,8,0,1,0,0,1.0,1.0,0.7292305501170816,0.0
195,1,11,1,16,14,12,0,3,4,0,1,0,0,0.5657081587484707,0.0,0.0,0.0
196,0,8,6,11,0,21,26,5,5,0,1,0,0,0.0,1.0,0.7629347951689582,0.0
197,1,3,1,6,2,2,1,2,2,0,1,0,0,0.0,0.0,0.0,0.0
198,0,0,1,15,0,12,13,3,8,0,1,0,0,0.30370574797375377,1.0,0.7292305501170816,0.0
199,0,11,1,11,0,0,2,27,18,0,1,0,0,0.30370574797375377,1.0,0.5239995654055677,0.0
200,0,0,1,5,0,0,0,4,7,0,1,0,0,0.5657081587484707,1.0,0.5916741449658186,0.5
201,0,0,4,9,0,12,13,4,0,0,1,0,0,0.8277105695231877,1.0,0.6906959960353908,0.0
202,0,0,4,11,0,12,13,7,7,0,1,0,0,0.5657081587484707,1.0,0.7292305501170816,0.0
203,0,14,1,9,13,22,27,5,10,1,1,0,0,0.0,1.0,0.6906959960353908,0.0
204,0,7,2,9,0,12,26,9,8,0,1,0,1,0.16953387213106524,1.0,0.5916741449658186,0.0
205,0,0,1,9,0,18,23,0,0,0,1,0,0,0.8277105695231877,1.0,0.5916741449658186,0.0
206,0,0,2,11,0,12,27,9,9,0,1,0,0,1.0,1.0,0.7292305501170816,0.0
207,0,0,4,14,0,2,13,1,4,0,1,0,1,0.16953387213106524,1.0,0.6906959960353908,0.0
208,0,0,1,5,0,12,0,8,7,0,1,0,0,0.0,1.0,0.6457112531348923,0.0
209,1,11,1,10,11,2,13,2,3,0,1,0,1,0.16953387213106524,1.0,0.6457112531348923,0.0
210,0,0,2,11,0,22,0,7,4,0,1,0,1,1.0,1.0,0.7292305501170816,0.0
211,0,0,1,11,0,21,26,9,9,0,1,0,1,0.8277105695231877,1.0,0.6906959960353908,0.0
212,0,13,1,7,0,0,2,9,2,0,1,0,1,0.0,1.0,0.6906959960353908,0.0
213,1,11,1,16,0,21,26,9,9,0,1,0,1,0.16953387213106524,0.0,0.0,0.0
214,0,13,1,14,0,0,0,4,5,0,1,0,0,0.8277105695231877,1.0,0.6906959960353908,0.0
215,0,11,1,12,14,0,0,4,5,0,1,0,0,0.8626475888460029,1.0,0.7629347951689582,0.0
216,0,8,1,8,0,12,2,5,5,0,1,0,1,0.262002410774717,1.0,0.6457112531348923,0.0
217,1,11,1,2,0,12,26,8,7,0,1,0,0,0.0,0.75,0.0,0.796846320583541
218,1,11,1,2,0,0,13,5,4,0,1,0,1,0.5657081587484707,0.75,0.0,0.0
219,1,7,1,5,0,12,26,1,3,0,1,0,0,0.8277105695231877,0.75,0.4333934776341723,0.0
220,0,0,1,8,0,22,27,7,7,0,1,0,1,0.0,1.0,0.5239995654055677,0.0
221,0,0,4,15,0,21,26,5,7,0,1,0,1,0.5657081587484707,1.0,0.6906959960353908,0.0
222,1,0,3,10,0,0,0,3,3,0,1,0,0,0.0,1.0,0.4333934776341723,0.0
223,0,15,1,11,0,12,0,5,9,0,1,0,1,0.30370574797375377,1.0,0.7292305501170816,0.0
224,0,8,1,11,0,0,27,4,5,0,1,0,1,0.16953387213106524,1.0,0.7292305501170816,0.0
225,0,3,1,16,16,24,4,3,3,0,1,0,0,0.30370574797375377,1.0,0.6457112531348923,0.0
226,0,3,1,8,2,0,3,3,10,0,1,0,0,0.262002410774717,1.0,0.6457112531348923,0.0
227,0,0,1,9,0,0,0,9,9,0,1,0,1,0.30370574797375377,1.0,0.6906959960353908,0.0
228,1,11,2,13,0,18,23,0,0,0,1,0,0,0.8277105695231877,0.0,0.0,0.0
229,0,13,1,11,0,0,0,5,8,0,1,0,1,1.0,1.0,0.7292305501170816,0.0
230,0,0,2,10,0,0,26,4,5,0,1,0,0,1.0,1.0,0.5239995654055677,0.0
231,1,11,1,10,2,12,13,4,6,0,1,0,0,0.8626475888460029,0.0,0.0,0.0
232,0,0,2,13,0,0,2,4,3,0,1,0,0,0.0,1.0,0.6457112531348923,0.0
233,0,0,1,10,0,0,26,9,9,0,1,0,1,0.8626475888460029,1.0,0.6457112531348923,0.0
234,1,0,1,8,0,21,0,9,10,0,1,0,0,0.16953387213106524,1.0,0.2958370724829093,0.6045309775610836
235,0,0,1,9,0,22,26,9,9,0,1,0,1,0.5657081587484707,1.0,0.6906959960353908,0.0
236,0,0,1,15,0,12,13,5,7,0,1,0,1,0.0,1.0,0.6906959960353908,0.0
237,0,7,2,9,0,21,26,3,9,0,1,0,1,0.8626475888460029,1.0,0.6906959960353908,0.0
238,1,0,1,7,0,12,0,9,9,0,0,0,0,0.0,1.0,0.5916741449658186,0.0
239,1,11,1,5,11,12,13,9,7,1,0,0,0,0.16953387213106524,1.0,0.5239995654055677,0.0
240,0,0,3,11,0,2,0,4,4,0,1,0,0,0.262002410774717,1.0,0.7292305501170816,0.0
241,0,6,1,1,0,2,2,3,3,0,1,0,0,0.262002410774717,1.0,0.7928859131524941,0.0
242,0,0,2,8,0,21,13,5,5,0,1,0,1,0.262002410774717,1.0,0.6457112531348923,0.0
243,1,11,1,8,0,21,0,9,1,0,0,0,0,0.5657081587484707,0.0,0.0,0.0
244,0,0,1,8,0,22,13,9,10,0,1,0,1,0.5657081587484707,1.0,0.819836637888477,0.0
245,0,3,1,11,2,12,27,5,3,0,1,0,0,0.0,1.0,0.7629347951689582,0.0
246,0,7,3,11,0,12,26,7,6,0,1,0,1,0.5657081587484707,1.0,0.7292305501170816,0.0
247,1,14,1,3,13,21,26,9,10,1,0,0,0,0.0,1.0,0.5239995654055677,0.0
248,0,0,3,10,0,12,26,4,7,0,1,0,0,0.30370574797375377,1.0,0.5916741449658186,0.0
249,0,0,1,13,0,12,0,9,8,0,1,0,1,0.30370574797375377,1.0,0.6457112531348923,0.0
250,0,0,3,4,0,12,27,9,9,0,1,0,0,0.0,1.0,0.6457112531348923,0.0
251,1,0,3,14,0,22,26,7,7,0,1,0,1,0.5657081587484707,1.0,0.6906959960353908,0.0
252,0,0,1,5,0,6,13,11,6,0,1,0,0,0.8277105695231877,1.0,0.6457112531348923,0.0
253,0,0,1,14,0,21,26,9,8,0,1,0,0,0.0,0.75,0.0,0.0
254,0,7,1,8,0,0,0,4,4,0,1,0,0,0.5657081587484707,1.0,0.6457112531348923,0.0
255,1,11,1,12,11,22,26,7,7,1,0,0,1,0.5657081587484707,0.75,0.0,0.0
256,0,7,1,16,14,21,26,6,6,0,1,0,0,0.16953387213106524,1.0,0.6457112531348923,0.6045309775610836
257,0,7,3,4,0,21,26,9,9,0,1,0,0,0.8277105695231877,1.0,0.6906959960353908,0.0
258,0,0,1,9,0,0,0,9,8,0,1,0,1,0.262002410774717,1.0,0.6457112531348923,0.0
259,1,13,1,9,0,0,0,3,1,1,0,0,0,0.16953387213106524,1.0,0.4333934776341723,0.0
260,0,0,1,10,0,21,27,9,7,0,1,0,1,0.8626475888460029,1.0,0.6457112531348923,0.0
261,1,11,1,2,0,21,26,12,12,0,1,0,0,1.0,0.0,0.0,0.0
262,1,13,1,6,0,21,27,9,9,1,0,0,0,0.8277105695231877,1.0,0.6906959960353908,0.5
263,0,0,1,9,0,0,0,4,4,0,1,0,0,0.5657081587484707,1.0,0.6906959960353908,0.0
264,0,0,1,9,0,22,13,9,5,0,1,0,0,0.262002410774717,1.0,0.6906959960353908,0.0
265,0,0,2,14,0,2,0,1,3,0,1,0,0,0.0,1.0,0.5239995654055677,0.0
