,Target
521,0
522,0
523,0
524,1
525,1
528,1
529,1
531,1
532,0
533,1
535,0
536,1
537,0
538,0
539,1
540,0
542,0
543,0
549,0
550,1
551,1
552,1
553,1
554,1
555,1
559,0
560,0
562,1
563,0
564,0
565,0
566,1
567,1
568,0
569,0
570,0
571,1
572,1
575,1
576,0
578,0
579,0
580,1
581,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
592,0
595,1
596,1
597,1
598,0
599,0
600,1
601,1
602,0
603,0
604,0
606,1
607,0
608,1
610,0
611,0
612,0
614,0
615,0
616,0
617,0
618,0
620,0
621,1
622,1
623,0
624,1
625,1
626,0
627,0
628,0
629,0
630,0
632,0
633,0
634,0
635,0
636,0
638,0
639,1
640,1
644,1
647,0
648,0
649,0
650,0
652,0
653,0
654,0
657,0
658,0
659,1
660,0
662,0
663,0
664,0
665,0
666,1
667,0
668,1
669,0
670,0
671,1
672,0
673,0
674,0
675,1
676,0
678,1
680,0
681,0
682,1
683,1
684,0
685,0
686,1
687,0
688,0
689,1
690,1
691,0
693,1
694,0
695,1
696,0
698,0
699,1
701,1
702,1
703,1
704,0
705,1
706,0
707,0
708,0
709,1
710,1
711,1
712,0
713,0
714,0
715,0
716,1
717,1
720,1
723,1
724,1
725,0
726,0
727,1
730,1
731,0
732,0
733,0
734,1
735,0
737,1
739,1
740,1
741,0
742,1
743,1
744,0
745,1
746,1
747,0
748,1
749,0
750,0
751,0
752,0
753,1
754,0
756,1
757,1
758,0
759,0
760,0
762,0
764,0
767,0
768,0
769,0
770,0
771,1
773,0
775,1
776,0
779,0
780,0
781,1
782,0
784,0
785,0
786,0
787,0
788,1
790,0
791,1
792,0
793,0
794,0
795,0
796,0
797,0
798,0
801,1
802,0
803,0
804,0
806,0
808,1
810,1
811,0
812,0
813,0
814,0
817,0
819,0
820,0
823,0
824,0
825,0
826,1
827,0
828,0
829,1
830,1
831,1
833,1
834,1
836,1
838,1
839,0
840,1
842,1
843,0
844,0
846,0
847,0
849,0
850,0
852,0
853,0
855,1
856,1
857,1
858,1
859,1
860,1
861,1
862,1
863,1
864,1
865,0
866,1
867,1
868,0
870,0
871,1
872,0
874,0
875,0
876,1
877,1
878,0
879,1
880,0
882,1
883,1
884,0
885,0
886,0
887,0
888,0
889,0
890,0
892,0
893,1
894,0
895,1
896,0
897,0
899,0
900,1
901,0
902,0
903,0
904,1
905,0
906,1
907,0
910,0
911,0
912,1
913,0
914,1
915,0
916,1
917,1
918,0
919,0
920,0
921,0
922,1
923,1
925,0
926,1
929,1
931,0
932,0
933,1
936,1
939,1
940,0
941,0
943,1
944,0
945,0
946,0
947,1
948,0
949,1
950,0
951,1
952,0
953,1
954,1
955,1
956,0
957,0
958,0
959,1
960,1
961,0
962,0
964,0
965,0
966,1
967,1
968,1
970,0
971,1
972,1
973,0
974,0
976,0
977,0
978,1
979,0
980,1
982,0
984,1
985,0
986,0
987,1
988,1
989,1
990,0
991,0
992,1
993,0
994,0
995,0
998,0
999,1
1000,1
1001,1
1003,0
1004,1
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,1
1014,0
1015,0
1016,1
1017,0
1018,1
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,1
1026,0
1027,0
1028,0
1029,0
1030,0
1032,0
1033,0
1034,1
1036,1
1037,0
1038,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,1
1046,1
1047,0
1048,0
1049,0
1051,0
1052,1
1053,0
1054,0
1055,0
1056,1
1057,0
1058,1
1059,0
1060,1
1061,1
1062,0
1063,0
1065,1
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1073,0
1074,0
1075,0
1076,1
1077,1
1079,0
1080,0
1081,0
1083,0
1084,0
1085,1
1086,0
1087,0
1090,0
1091,1
1092,0
1093,1
1094,0
1095,1
1096,1
1097,0
1098,0
1099,0
1100,1
1101,1
1104,0
1106,1
1107,0
1108,1
1109,0
1110,0
1111,0
1114,0
1115,0
1116,1
1117,0
1119,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1133,0
1134,1
1136,0
1137,1
1138,0
1139,0
1140,0
1142,1
1143,0
1145,0
1147,0
1149,0
1150,0
1154,0
1156,1
1157,0
1158,0
1159,0
1160,0
1162,0
1163,0
1164,1
1165,0
1166,1
1167,0
1168,1
1169,0
1170,0
1171,0
1172,1
1174,0
1175,1
1176,0
1177,0
1178,1
1179,0
1180,1
1181,0
1182,0
1183,1
1185,0
1187,1
1188,0
1189,0
1190,1
1191,0
1193,0
1194,0
1196,1
1197,1
1198,0
1199,0
1200,0
1201,0
1202,1
1203,0
1204,1
1205,0
1206,0
1208,1
1209,1
1210,1
1212,0
1213,0
1215,0
1216,0
1217,0
1218,0
1219,0
1221,0
1222,1
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1230,0
1231,0
1232,0
1233,0
1234,0
1235,1
1236,0
1237,1
1238,0
1239,1
1240,1
1241,1
1243,0
1244,1
1245,1
1246,0
1247,1
1249,1
1250,0
1251,0
1252,0
1253,0
1255,1
1256,0
1257,0
1258,0
1259,0
1260,0
1261,1
1262,1
1263,0
1264,0
1265,0
1266,0
1267,0
1269,1
1271,0
1272,1
1273,1
1274,0
1275,0
1276,0
1277,1
1279,0
1280,0
1281,0
1282,1
1283,0
1284,0
1285,1
1287,0
1288,0
1289,0
1291,0
1292,1
1293,0
1294,1
1295,1
1296,1
1297,1
1298,0
1300,1
1301,1
1303,0
1304,0
1305,0
1306,0
1307,0
1308,0
1309,0
1310,0
1311,0
1312,0
1313,1
1315,0
1317,1
1318,1
1319,0
1320,0
1322,0
1323,0
1325,0
1327,1
1328,0
1330,0
1331,0
1332,1
1334,0
1338,1
1339,0
1340,0
1341,0
1342,0
1343,0
1344,1
1345,0
1346,0
1349,0
1351,0
1352,0
1353,1
1356,1
1357,1
1359,1
1360,1
1361,0
1362,1
1364,0
1365,1
1366,1
1367,0
1368,1
1369,0
1370,0
1371,0
1372,0
1373,0
1374,1
1378,1
1379,1
1380,0
1381,1
1382,0
1383,0
1384,0
1385,1
1386,1
1387,0
1388,1
1390,0
1391,0
1393,0
1394,0
1395,0
1397,0
1398,0
1399,0
1401,0
1402,0
1403,0
1404,1
1405,1
1406,0
1408,1
1409,0
1410,1
1411,0
1412,0
1414,0
1415,0
1416,1
1417,0
1418,0
1419,1
1420,1
1422,0
1423,0
1426,0
1429,0
1430,0
1431,1
1433,0
1435,1
1437,0
1438,0
1439,0
1440,0
1442,0
1443,1
1444,0
1445,1
1447,1
1448,1
1449,0
1450,1
1451,0
1453,0
1455,1
1459,1
1460,1
1461,0
1463,1
1465,0
1466,1
1468,0
1469,0
1472,0
1473,1
1475,0
1476,1
1478,1
1479,1
1480,1
1481,0
1482,0
1483,0
1484,0
1485,0
1486,0
1488,1
1489,0
1490,0
1491,0
1492,1
1493,0
1494,1
1495,0
1496,0
1497,0
1499,0
1500,0
1501,1
1502,0
1505,1
1508,0
1509,1
1510,1
1513,0
1514,1
1516,1
1519,1
1520,1
1521,0
1522,1
1523,1
1525,0
1526,1
1527,0
1528,0
1529,1
1531,0
1532,0
1534,0
1536,1
1537,0
1538,1
1539,1
1540,1
1541,1
1542,1
1543,1
1544,1
1545,0
1547,1
1548,1
1549,1
1550,0
1551,0
1552,0
1553,0
1554,0
1555,0
1556,1
1559,0
1562,0
1565,0
1566,0
1567,0
1569,1
1571,1
1572,1
1573,1
1574,0
1576,1
1578,1
1580,0
1582,1
1583,1
1584,0
1588,1
1589,0
1590,1
1597,0
1598,1
1599,1
1603,0
1604,1
1606,0
1607,0
1609,0
1610,1
1612,0
1613,1
1614,0
1615,1
1616,0
1617,1
1618,1
1619,0
1620,0
1621,0
1622,1
1623,1
1624,1
1625,1
1626,0
1627,1
1628,1
1629,1
1630,0
1631,1
1632,0
1634,0
1635,0
1636,0
1637,0
1638,1
1639,0
1640,0
1641,0
1642,0
1643,0
1644,1
1647,0
1648,1
1649,0
1651,0
1653,0
1654,1
1655,0
1656,0
1660,0
1661,0
1662,0
1663,0
1664,0
1666,0
1667,0
1668,1
1669,0
1671,0
1672,1
1673,0
1674,0
1675,1
1676,1
1677,0
1678,0
1679,1
1682,1
1683,1
1684,0
1685,0
1686,0
1687,1
1690,1
1691,1
1692,0
1694,1
1695,0
1696,0
1697,1
1698,1
1699,1
1700,0
1701,0
1702,1
1703,0
1704,0
1708,1
1709,0
1711,0
1712,1
1714,0
1715,0
1716,0
1718,1
1719,1
1720,0
1721,0
1722,0
1723,0
1725,1
1726,0
1728,1
1729,0
1730,0
1731,1
1732,1
1734,1
1735,0
1736,0
1738,0
1739,1
1740,1
1742,1
1743,1
1744,1
1745,1
1746,1
1747,1
1748,1
1749,1
1754,1
1757,1
1758,0
1759,0
1760,0
1762,0
1763,0
1764,0
1765,1
1766,1
1768,1
1772,0
1775,1
1776,0
1777,1
1778,0
1779,0
1781,0
1782,1
1784,1
1786,1
1787,0
1788,1
1789,0
1790,0
1791,1
1792,1
1793,1
1795,0
1796,0
1797,1
1798,1
1799,1
1800,1
1801,0
1802,0
1803,1
1804,1
1805,1
1807,1
1809,0
1810,0
1811,0
1812,1
1813,0
1814,1
1816,0
1817,0
1818,1
1819,1
1823,1
1824,0
1825,0
1826,0
1828,1
1830,1
1831,0
1832,0
1833,1
1834,0
1835,0
1836,0
1838,0
1839,0
1840,1
1841,1
1842,0
1844,0
1845,1
1846,1
1847,1
1848,0
1850,1
1851,1
1852,0
1853,0
1854,1
1855,1
1856,0
1857,0
1858,0
1860,1
1862,1
1863,0
1864,1
1865,0
1866,1
1867,1
1869,0
1870,1
1871,1
1872,0
1873,1
1874,0
1875,0
1876,1
1877,1
1879,0
1881,1
1882,1
1885,0
1886,1
1887,1
1888,0
1891,0
1892,1
1897,1
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1909,0
1910,0
1911,0
1912,0
1913,1
1914,0
1915,0
1916,0
1917,0
1918,0
1921,0
1923,0
1924,1
1925,0
1926,0
1927,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,1
1939,0
1940,0
1941,0
1942,0
1943,0
1944,1
1945,0
1946,0
1947,0
1948,0
1949,0
1950,1
1951,1
1953,0
1955,0
1957,0
1958,1
1960,0
1962,0
1963,0
1964,0
1965,0
1966,0
1969,0
1971,0
1972,1
1973,0
1974,0
1975,1
1977,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1988,0
1990,0
1993,0
1994,1
1995,0
1996,0
1997,0
1998,1
1999,0
2000,1
2001,1
2002,0
2003,1
2004,1
2005,0
2006,0
2007,0
2009,1
2010,0
2011,0
2012,1
2013,1
2014,1
2015,0
2016,0
2017,0
2019,0
2020,1
2021,1
2023,0
2025,0
2028,0
2029,0
2030,0
2031,1
2032,0
2033,1
2034,0
2036,1
2037,1
2038,0
2039,0
2040,1
2041,0
2042,0
2043,0
2044,0
2045,0
2046,1
2047,1
2048,0
2049,0
2050,0
2051,0
2052,1
2054,0
2055,0
2056,0
2058,0
2059,1
2060,0
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2069,1
2070,0
2071,0
2072,0
2073,0
2074,0
2075,0
2076,0
2077,0
2078,0
2079,0
2080,0
2081,0
2082,0
2083,0
2084,0
2085,1
2086,1
2087,1
2088,0
2089,1
2090,0
2092,0
2093,0
2094,1
2095,0
2096,1
2097,0
2098,0
2099,1
2101,0
2102,0
2103,1
2104,0
2107,0
2109,0
2111,0
2112,0
2113,0
2114,1
2115,1
2116,0
2117,1
2118,0
2120,1
2121,0
2122,0
2123,1
2125,1
2126,1
2127,1
2129,0
2131,0
2132,0
2133,0
2134,0
2135,1
2136,0
2137,0
2138,0
2139,1
2141,0
2142,0
2144,0
2146,0
2147,0
2148,0
2149,0
2150,0
2152,0
2153,0
2154,0
2155,0
2157,0
2158,0
2159,1
2160,0
2161,1
2162,1
2163,0
2164,0
2165,0
2166,0
2167,0
2168,0
2169,0
2170,0
2171,0
2172,0
2173,1
2174,0
2176,0
2177,1
2178,0
2179,0
2181,0
2182,0
2183,1
2185,0
2187,0
2188,0
2189,1
2191,1
2192,1
2198,1
2199,1
2200,1
2201,0
2202,0
2204,0
2206,1
2209,1
2210,0
2211,0
2213,1
2214,0
2216,0
2217,1
2218,0
2219,0
2220,0
2221,0
2224,0
2225,1
2226,0
2227,1
2228,1
2229,0
2232,1
2233,1
2237,1
2240,0
2243,0
2244,1
2245,0
2248,1
2249,0
2250,1
2252,1
2253,1
2254,1
2255,1
2256,1
2258,1
2259,0
2261,1
2262,1
2263,1
2266,1
2267,1
2268,1
2269,1
2270,1
2271,0
2272,1
2273,1
2275,1
2276,0
2277,0
2279,1
2280,0
2282,1
2283,0
2285,1
2286,0
2287,0
2289,1
2290,1
2291,0
2292,1
2293,0
2295,0
2296,1
2297,0
2298,0
2299,1
2304,1
2306,1
2307,1
2308,1
2309,0
2310,0
2311,0
2312,1
2313,0
2314,0
2315,1
2316,1
2317,1
2318,1
2319,0
2320,1
2322,1
2324,0
2325,1
2327,1
2329,1
2330,1
2331,1
2332,0
2334,0
2335,0
2336,1
2337,1
2338,1
2340,1
2342,0
2343,0
2344,0
2345,0
2347,0
2348,1
2349,0
2350,0
2351,0
2352,0
2353,0
2354,1
2355,0
2357,1
2358,0
2359,1
2361,1
2362,0
2365,0
2367,0
2369,1
2375,1
2376,0
2377,1
2378,1
2379,0
2380,0
2381,0
2382,1
2385,0
2388,1
2389,1
2390,1
2391,1
2393,1
2394,0
2396,1
2398,0
2399,0
2400,1
2401,0
2402,1
2403,0
2404,1
2405,0
2407,1
2408,1
2409,1
2410,1
2411,1
2413,0
2414,0
2415,1
2416,1
2417,0
2420,1
2421,1
2422,0
2423,1
2424,1
2425,1
2426,1
2427,0
2428,1
2429,1
2430,0
2431,0
2432,1
2435,0
2436,0
2437,1
2438,1
2439,1
2440,1
2442,1
2443,0
2444,1
2446,1
2447,0
2448,1
2449,1
2451,1
2452,0
2454,1
2455,0
2456,0
2458,1
2459,0
2460,1
2461,1
2463,1
2464,1
2465,1
2468,1
2469,1
2471,1
2472,1
2473,1
2474,0
2475,1
2476,0
2478,0
2479,1
2481,0
2482,0
2483,0
2484,0
2485,1
2486,1
2487,1
2489,0
2492,1
2493,0
2494,0
2495,0
2497,0
2499,1
2500,0
2501,0
2502,0
2503,0
2504,1
2505,0
2506,0
2507,0
2509,0
2510,1
2512,0
2513,0
2514,1
2516,0
2517,0
2518,0
2519,0
2520,0
2521,0
2522,0
2523,1
2524,1
2525,0
2526,1
2527,0
2528,0
2529,0
2530,0
2531,0
2532,0
2534,0
2537,0
2538,0
2539,0
2540,1
2541,1
2542,0
2543,1
2545,0
2546,0
2547,0
2548,0
2549,1
2550,0
2552,0
2553,1
2556,0
2559,1
2560,0
2561,0
2562,1
2564,0
2565,0
2566,0
2569,0
2570,0
2571,0
2572,0
2573,0
2574,0
2575,0
2576,1
2577,1
2578,0
2579,0
2580,0
2581,1
2582,0
2584,0
2585,0
2588,1
2590,1
2592,0
2593,1
2595,0
2596,1
2600,1
2602,0
2603,1
2604,1
2605,0
2606,0
2607,1
2608,0
2609,1
2610,0
2611,0
2612,0
2613,1
2614,1
2615,1
2616,1
2617,0
2618,1
2619,0
2621,0
2622,0
2623,1
2624,0
2625,1
2626,0
2630,1
2631,1
2632,0
2633,0
2635,1
2636,1
2638,0
2640,1
2641,0
2642,1
2643,1
2644,0
2647,1
2648,1
2649,1
2651,1
2652,0
2653,1
2654,0
2655,0
2659,1
2660,1
2661,0
2662,1
2663,1
2664,0
2665,1
2666,0
2667,1
2669,1
2671,0
2672,1
2674,0
2676,1
2677,0
2679,0
2680,0
2681,1
2682,1
2683,0
2684,1
2687,1
2689,1
2690,1
2691,0
2692,0
2693,0
2694,0
2696,1
2698,1
2699,0
2701,1
2702,1
2703,1
2705,1
2706,0
2707,1
2708,0
2710,0
2711,1
2712,1
2713,0
2714,1
2715,0
2717,0
2718,0
2719,0
2720,0
2723,1
2724,0
2726,0
2727,0
2729,0
2730,0
2731,0
2734,0
2735,0
2736,0
2737,1
2738,0
2739,0
2740,0
2741,0
2742,0
2743,0
2744,1
2745,0
2747,1
2748,1
2749,1
2750,1
2751,0
2752,1
2753,0
2754,1
2755,0
2756,1
2757,1
2760,1
2763,0
2765,0
2766,0
2767,1
2768,0
2769,1
2770,0
2771,0
2773,0
2775,0
2778,0
2779,0
2780,0
2781,1
2784,0
2785,0
2786,1
2788,1
2790,1
2791,0
2792,0
2795,0
2796,1
2797,0
2798,0
2799,1
2800,0
2801,1
2802,0
2803,0
2804,0
2805,0
2806,0
2808,0
2810,0
2811,1
2812,0
2813,0
2815,0
2816,0
2818,0
2820,0
2821,1
2822,0
2825,1
2826,0
2827,0
2830,0
2834,0
2835,0
2836,1
2838,1
2839,0
2841,0
2842,0
2843,1
2845,0
2846,1
2847,1
2848,1
2849,0
2850,1
2851,0
2852,0
2853,0
2854,1
2855,1
2856,0
2858,0
2860,0
2861,0
2862,0
2863,0
2864,1
2865,0
2866,1
2867,0
2869,0
2871,1
2873,0
2874,1
2876,1
2878,1
2879,1
2880,0
2882,1
2883,0
2884,0
2885,0
2886,0
2887,0
2888,0
2889,0
2890,0
2891,1
2892,0
2893,1
2894,0
2895,0
2897,0
2898,0
2901,1
2902,0
2903,0
2904,1
2905,0
2906,0
2907,0
2908,0
2909,1
2910,1
2911,0
2912,1
2913,0
2914,1
2916,0
2917,0
2918,1
2919,1
2922,1
2923,1
2924,0
2925,0
2926,0
2927,0
2930,1
2931,1
2932,1
2933,0
2934,1
2935,1
2936,1
2937,1
2939,1
2940,0
2943,0
2944,0
2945,1
2946,1
2947,0
2948,0
2949,1
2950,0
2951,0
2954,0
2956,1
2957,0
2958,1
2959,0
2960,0
2961,0
2962,1
2963,0
2964,1
2965,0
2966,0
2968,0
2969,0
2970,0
2971,1
2973,0
2975,0
2976,0
2977,1
2978,0
2979,1
2980,0
2981,0
2982,0
2983,0
2984,0
2985,0
2987,0
2990,0
2991,0
2992,1
2993,0
2994,0
2995,0
2996,0
2998,0
2999,1
3001,0
3002,1
3003,1
3004,0
3005,0
3006,0
3008,1
3009,0
3010,0
3011,1
3012,0
3013,0
3014,1
3015,0
3016,0
3017,0
3018,0
3019,0
3020,0
3021,0
3022,1
3025,0
3027,1
3028,0
3029,0
3030,1
3031,0
3032,0
3033,0
3034,0
3035,0
3036,1
3037,0
3038,0
3039,1
3040,1
3042,0
3043,0
3044,0
3045,0
3047,1
3048,0
3049,0
3050,1
3052,0
3053,1
3054,0
3055,1
3056,0
3057,1
3058,0
3059,0
3061,1
3062,1
3063,0
3064,0
3065,1
3066,0
3068,0
3069,1
3071,1
3072,1
3074,1
3076,1
3078,0
3079,1
3080,0
3081,0
3082,0
3083,1
3084,0
3086,0
3087,0
3088,0
3089,1
3090,0
3092,0
3093,0
3094,1
3095,0
3096,0
3097,1
3099,1
3100,0
3101,0
3102,1
3104,0
3105,1
3106,0
3107,0
3109,0
3111,0
3112,1
3114,0
3115,0
3116,1
3117,0
3118,0
3120,1
3121,0
3123,0
3124,0
3125,0
3127,0
3128,0
3129,0
3130,0
3131,0
3132,0
3136,0
3137,0
3138,0
3140,0
3141,0
3142,1
3143,0
3144,0
3145,0
3146,0
3149,0
3152,0
3156,0
3157,1
3161,0
3162,0
3163,0
3164,0
3165,0
3166,1
3167,1
3168,1
3169,0
3170,0
3171,1
3172,1
3173,0
3175,1
3176,0
3177,1
3178,0
3180,0
3181,1
3182,0
3184,0
3185,1
3186,1
3187,1
3188,1
3190,1
3191,1
3193,1
3195,1
3197,0
3198,1
3199,0
3200,1
3201,0
3203,1
3204,1
3205,1
3206,0
3207,1
3208,1
3209,0
3210,0
3212,0
3213,1
3214,0
3215,0
3216,1
3217,0
3219,1
3220,1
3221,1
3222,0
3223,1
3224,1
3225,0
3226,0
3228,0
3229,0
3230,0
3232,0
3233,1
3234,0
3235,0
3236,0
3238,0
3239,0
3241,0
3242,1
3243,0
3244,1
3245,1
3246,0
3247,0
3248,0
3249,0
3250,1
3251,0
3252,1
3253,1
3254,0
3255,0
3256,0
3257,0
3258,0
3259,0
3260,0
3261,0
3262,1
3263,0
3264,1
3265,0
3266,0
3268,1
3269,1
3270,1
3271,0
3272,0
3274,1
3275,0
3276,1
3277,0
3278,1
3279,0
3280,0
3281,1
3283,0
3285,0
3286,1
3287,1
3288,0
3289,0
3290,1
3291,1
3292,1
3295,0
3297,1
3298,0
3299,1
3301,0
3302,0
3303,0
3304,0
3305,0
3306,0
3307,0
3308,0
3309,1
3310,0
3311,1
3314,1
3315,0
3316,1
3318,1
3319,0
3320,0
3321,1
3322,1
3323,1
3326,0
3327,1
3330,0
3331,1
3332,1
3333,1
3334,0
3336,1
3337,1
3338,1
3340,1
3342,0
3344,1
3345,1
3346,1
3347,1
3348,0
3349,1
3351,1
3352,1
3353,0
3354,0
3355,1
3357,1
3358,1
3360,1
3361,0
3362,0
3363,1
3364,1
3365,1
3367,0
3369,1
3370,1
3371,0
3372,0
3373,0
3374,0
3375,0
3376,0
3377,0
3379,0
3380,1
3381,1
3382,0
3383,1
3385,0
3386,0
3387,0
3390,0
3391,0
3392,0
3393,0
3395,0
3397,0
3398,0
3399,0
3400,0
3402,0
3403,0
3407,0
3408,1
3409,0
3411,0
3413,1
3414,0
3417,1
3418,0
3419,0
3420,0
3421,1
3422,1
3423,1
3424,1
3425,1
3427,0
3428,1
3429,1
3430,0
3431,0
3432,0
3433,1
3434,1
3435,0
3436,0
3438,0
3439,1
3442,0
3443,0
3444,1
3445,0
3446,1
3448,0
3449,0
3452,0
3453,0
3454,1
3455,0
3456,0
3457,0
3458,0
3459,1
3460,0
3462,1
3464,0
3465,1
3467,0
3470,0
3471,0
3472,1
3473,1
3474,1
3475,0
3476,0
3477,1
3479,0
3480,0
3482,1
3483,1
3484,1
3485,1
3486,0
3487,1
3488,1
3489,0
3491,1
3492,1
3493,1
3494,0
3495,0
3496,1
3497,1
3498,0
3500,1
3501,1
3502,0
3503,0
3504,0
3505,1
3506,1
3507,0
3509,0
3510,1
3513,1
3514,1
3517,1
3518,1
3519,1
3520,0
3522,0
3525,0
3526,1
3527,1
3528,1
3530,0
3532,0
3533,1
3534,1
3535,1
3536,1
3537,1
3538,1
3539,0
3540,1
3541,1
3545,0
3546,0
3547,1
3548,1
3549,0
3551,1
3552,1
3553,1
3555,0
3557,1
3559,0
3561,0
3562,1
3563,1
3564,1
3565,1
3566,0
3567,0
3568,0
3569,1
3570,0
3571,0
3572,1
3574,0
3575,0
3576,0
3577,1
3578,1
3579,0
3580,0
3581,0
3582,1
3584,0
3585,1
3587,0
3588,0
3589,1
3592,1
3593,1
3595,1
3597,0
3598,0
3599,1
3601,0
3602,0
3604,0
3605,0
3606,1
3608,1
3611,0
3612,1
3613,1
3615,1
3617,1
3618,0
3619,0
3620,1
3621,0
3622,0
3623,1
3624,0
3626,1
3629,0
3630,0
3631,1
3633,0
3634,0
3635,0
3636,0
3638,0
3639,0
3640,0
3641,1
3642,0
3643,0
3644,0
3645,0
3647,1
3648,0
3649,1
3650,0
3652,0
3654,0
3655,0
3656,0
3657,0
3658,0
3660,1
3661,0
3662,0
3663,0
3664,1
3666,1
3667,1
3668,0
3669,0
3671,0
3672,0
3673,0
3674,0
3675,0
3676,0
3677,1
3678,0
3679,0
3682,1
3684,1
3685,1
3686,1
3687,1
3688,0
3690,0
3691,1
3692,1
3693,1
3695,1
3696,0
3698,0
3699,1
3702,1
3703,1
3704,0
3705,1
3706,0
3708,1
3709,1
3710,0
3712,1
3713,1
3714,1
3716,1
3718,1
3719,1
3721,1
3722,1
3723,1
3724,1
3725,1
3726,1
3727,0
3728,0
3729,0
3730,0
3731,1
3733,1
3734,1
3735,0
3738,0
3739,1
3740,1
3742,0
3744,1
3746,0
3747,0
3748,1
3749,0
3750,0
3751,0
3752,0
3753,0
3754,1
3755,1
3756,0
3757,0
3759,1
3760,0
3761,1
3762,0
3763,0
3764,0
3765,0
3766,0
3767,1
3769,1
3770,1
3771,0
3772,0
3773,1
3774,0
3775,1
3776,0
3777,0
3780,0
3781,0
3782,0
3784,1
3787,1
3789,1
3790,0
3791,1
3792,1
3793,1
3794,1
3795,0
3796,0
3797,1
3798,0
