,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Unemployment rate,Inflation rate,GDP,Target_encoded,Total Curricular units (grade),Total Curricular units (credited),Total Curricular units (enrolled),Total Curricular units (evaluations),Total Curricular units (approved),Total Curricular units (without evaluations)
17,0,7,2,11,1,0,0.0,0,12,0,5,4,0.0,1,0,0,1,0,0,-0.8108027818016886,0,1.4507796153738872,1.132649011331743,-1.7926226566666124,0,0.5540161322524245,-0.37101983423498863,0.4550819916450282,0.26061229220679744,0.8470299467730539,-0.23490997359881433
18,0,0,1,7,1,0,0.0,0,2,13,3,5,0.0,1,0,0,1,0,0,-0.4305196917739134,0,-0.3113121790486066,0.12161458918853636,0.774118642653232,0,0.4617455488182039,-0.37101983423498863,-0.20082234344761415,0.26061229220679744,0.25963353557025814,3.8168632452994014
20,0,0,3,1,1,0,0.0,0,0,0,9,8,0.0,0,0,0,1,0,1,-0.253759460374585,0,-0.19883823472376694,-0.45611936632186734,0.8980302915859142,0,-2.1750170959725468,-0.37101983423498863,-4.398360108976492,-3.0233418682789956,-1.7697133631024018,-0.23490997359881433
22,0,0,4,11,1,0,0.0,0,12,13,1,1,0.0,1,0,0,1,0,0,-0.8108027818016886,0,0.40102280167537985,1.7825997112809473,-0.7482244728054344,0,0.491760459409834,-0.37101983423498863,0.5612059506361214,0.7076304848405326,0.7314298216871751,-0.23490997359881433
23,0,0,4,13,1,0,0.0,0,0,27,4,7,0.0,1,0,0,1,0,1,-0.6159057152070485,0,-0.19883823472376694,-0.45611936632186734,0.8980302915859142,0,0.4902401320462151,-0.37101983423498863,0.09160737073300991,0.19034279433801699,0.5992625156070168,-0.23490997359881433
24,0,0,1,11,1,0,0.0,0,12,13,3,7,0.0,0,0,0,1,0,0,-0.6159057152070485,0,-0.19883823472376694,-0.45611936632186734,0.8980302915859142,0,0.5415412405864977,-0.37101983423498863,0.4550819916450282,0.3268641370706001,0.7314298216871751,-0.23490997359881433
26,0,7,2,9,1,0,0.0,0,12,27,7,8,0.0,1,0,0,1,0,0,-0.253759460374585,0,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,0,0.4592198290295995,-0.37101983423498863,0.09160737073300991,0.3895330061866227,0.5992625156070168,-0.23490997359881433
28,0,0,1,8,1,0,0.0,0,12,0,9,9,0.0,1,0,0,1,0,0,-0.4305196917739134,0,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,0,0.4483969681271927,-0.37101983423498863,-0.20082234344761415,-0.05033027649678355,0.44497210209234944,-0.23490997359881433
31,0,15,1,4,1,0,0.0,0,26,2,15,21,0.0,1,0,0,1,1,0,-0.4305196917739134,0,-1.0236471597725936,0.12161458918853636,1.5574172805491155,0,0.5071072852964912,1.0445151576443876,0.09160737073300991,0.26061229220679744,0.25963353557025814,-0.23490997359881433
33,0,8,1,2,0,0,0.0,0,12,0,9,5,0.0,1,0,0,1,0,0,-0.6159057152070485,0,0.2885488573505402,-0.5283361107606678,0.7962457228197825,0,0.5311899520522209,-0.37101983423498863,0.09160737073300991,0.11553672812843996,0.5992625156070168,-0.23490997359881433
34,0,0,1,16,0,0,0.0,0,1,26,3,9,0.0,0,0,0,1,1,0,1.510443874752867,0,0.8509185789747404,-1.1060700662710716,0.35370411948877484,0,0.4950951897635039,-0.37101983423498863,-0.20082234344761415,0.19034279433801699,0.44497210209234944,-0.23490997359881433
35,0,11,1,0,1,0,0.0,0,22,26,9,6,0.0,0,0,1,0,1,0,1.8229206672865463,0,-1.0236471597725936,0.12161458918853636,1.5574172805491155,1,-0.2286394072638783,-0.37101983423498863,0.342106715835676,0.11553672812843996,-0.7550399137660718,-0.23490997359881433
36,0,11,1,6,1,7,0.0,0,18,26,0,0,0.0,1,0,0,1,1,0,2.37996398871365,0,-1.5110342518469009,0.9882155224541421,0.14570956592320122,1,-2.1750170959725468,-0.37101983423498863,-0.20082234344761415,-3.0233418682789956,-1.7697133631024018,-0.23490997359881433
37,0,13,1,8,1,0,0.0,0,21,26,6,6,0.0,0,0,0,1,0,0,3.296297751415953,0,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,1,0.37007152995291964,-0.37101983423498863,-0.20082234344761415,0.3895330061866227,-0.28324362764915506,3.8168632452994014
38,3,11,1,16,0,0,0.0,0,12,13,9,3,0.0,1,0,0,1,0,0,2.0178177338811847,0,-1.5110342518469009,0.9882155224541421,0.14570956592320122,0,0.3909748965056221,-0.37101983423498863,-0.20082234344761415,0.0355676612599826,0.44497210209234944,-0.23490997359881433
39,0,14,1,7,1,13,0.0,2,3,3,3,6,0.0,0,0,1,0,0,0,-0.4305196917739134,1,0.2885488573505402,-0.5283361107606678,0.7962457228197825,1,0.4269667762913977,1.415186452961471,0.09160737073300991,0.7076304848405326,0.02752064147463172,-0.23490997359881433
40,0,0,5,14,1,0,0.0,0,2,2,2,2,0.0,0,0,1,1,0,0,-0.8108027818016886,0,0.40102280167537985,1.7825997112809473,-0.7482244728054344,1,-0.04751321940066243,-0.37101983423498863,-0.048508126439125165,-0.14310711712281785,-1.7697133631024018,-0.23490997359881433
41,0,0,2,8,1,0,0.0,0,2,13,2,7,0.0,1,0,0,1,0,0,-0.08485788691433913,0,-1.0236471597725936,0.12161458918853636,1.5574172805491155,0,0.6279193172110736,-0.37101983423498863,-0.20082234344761415,-0.2439612847322383,0.44497210209234944,-0.23490997359881433
42,0,0,6,11,1,0,0.0,0,0,2,2,2,0.0,1,1,0,1,0,0,-0.08485788691433913,0,-0.19883823472376694,-0.45611936632186734,0.8980302915859142,0,0.5657477565546241,-0.37101983423498863,0.4550819916450282,0.3895330061866227,0.7314298216871751,-0.23490997359881433
43,0,7,1,14,1,0,0.0,0,0,27,5,5,0.0,0,0,0,0,0,0,-0.4305196917739134,0,0.2885488573505402,-0.5283361107606678,0.7962457228197825,1,0.5239230947238819,-0.37101983423498863,0.09160737073300991,0.11553672812843996,0.44497210209234944,-0.23490997359881433
44,0,11,1,16,0,0,0.0,0,21,26,9,9,0.0,0,0,0,1,0,0,0.9247237397795528,0,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,1,-2.1750170959725468,-0.37101983423498863,-0.20082234344761415,-3.0233418682789956,-1.7697133631024018,-0.23490997359881433
46,0,7,2,9,1,0,0.0,0,12,13,9,9,0.0,1,0,0,1,0,0,-0.8108027818016886,0,-0.19883823472376694,-0.45611936632186734,0.8980302915859142,0,0.4655194535264229,-0.37101983423498863,0.09160737073300991,0.11553672812843996,0.44497210209234944,-0.23490997359881433
47,0,7,6,11,1,0,0.0,0,21,13,7,7,0.0,1,0,0,1,0,1,-0.08485788691433913,0,-0.19883823472376694,-0.45611936632186734,0.8980302915859142,0,0.5381054575005514,-0.37101983423498863,0.4550819916450282,0.3268641370706001,0.7314298216871751,-0.23490997359881433
48,0,14,1,2,0,13,0.0,0,0,13,9,9,0.0,0,0,0,1,0,1,-0.253759460374585,0,0.2885488573505402,-0.5283361107606678,0.7962457228197825,0,0.4630054676464645,1.9376183012426174,0.09160737073300991,0.0355676612599826,0.5992625156070168,-0.23490997359881433
49,0,0,1,9,1,0,0.0,0,21,27,9,9,0.0,0,0,0,1,0,1,-0.6159057152070485,0,0.40102280167537985,1.7825997112809473,-0.7482244728054344,0,0.47456793228339594,-0.37101983423498863,0.09160737073300991,0.11553672812843996,0.5992625156070168,-0.23490997359881433
50,0,11,1,10,1,0,0.0,0,12,27,9,7,0.0,0,0,0,1,0,1,0.2319638572181003,0,0.2885488573505402,-0.5283361107606678,0.7962457228197825,0,0.5537347307789396,-0.37101983423498863,0.09160737073300991,-0.05033027649678355,0.5992625156070168,-0.23490997359881433
53,0,0,3,7,1,0,0.0,0,21,26,11,11,0.0,0,0,0,1,0,0,-0.6159057152070485,0,-1.5110342518469009,0.9882155224541421,0.14570956592320122,0,0.6256042077730964,-0.37101983423498863,-0.20082234344761415,-0.05033027649678355,0.44497210209234944,-0.23490997359881433
54,0,11,1,16,0,0,0.0,0,22,27,9,9,0.0,0,0,0,1,0,0,0.6625743023277183,0,-0.8361905858978602,-1.4671537884650738,-1.3766335495354654,1,0.35583076920923834,-0.37101983423498863,-0.20082234344761415,0.610983551365563,0.44497210209234944,-0.23490997359881433
55,0,0,1,11,1,0,0.0,0,0,13,5,5,0.0,1,0,0,1,0,0,-0.8108027818016886,0,1.4507796153738872,1.132649011331743,-1.7926226566666124,0,0.5192379299578879,-0.37101983423498863,0.4550819916450282,0.4489866395892748,0.8470299467730539,-0.23490997359881433
56,1,3,1,10,1,2,0.0,0,0,2,4,3,0.0,0,0,0,1,0,0,2.0178177338811847,0,0.2885488573505402,-0.5283361107606678,0.7962457228197825,1,-2.1750170959725468,-0.37101983423498863,0.09160737073300991,0.26061229220679744,-1.7697133631024018,-0.23490997359881433
57,0,11,1,7,1,14,0.0,0,2,2,2,2,0.0,1,0,0,1,0,0,0.6625743023277183,0,0.2885488573505402,-0.5283361107606678,0.7962457228197825,1,0.497210179902953,1.9376183012426174,0.6612622806321008,0.610983551365563,1.042194090810962,-0.23490997359881433
58,0,7,1,11,1,0,0.0,0,22,27,7,10,0.0,1,0,0,1,0,0,-0.8108027818016886,0,-0.8361905858978602,-1.4671537884650738,-1.3766335495354654,0,0.6092108760432577,-0.37101983423498863,0.5612059506361214,0.26061229220679744,0.8470299467730539,-0.23490997359881433
60,0,0,2,11,1,0,0.0,0,12,13,9,9,0.0,0,0,0,1,0,0,-0.8108027818016886,0,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,0,0.4804420193551613,-0.37101983423498863,0.4550819916450282,0.5055389154534011,0.7314298216871751,-0.23490997359881433
61,0,14,1,9,1,13,0.0,0,12,0,9,9,0.0,0,0,0,1,0,1,-0.253759460374585,0,0.8509185789747404,-1.1060700662710716,0.35370411948877484,0,0.4377525938962186,1.9376183012426174,0.09160737073300991,0.11553672812843996,0.5992625156070168,-0.23490997359881433
65,3,12,1,11,1,11,0.0,0,0,0,5,5,0.0,1,0,0,1,1,0,0.9247237397795528,0,0.8509185789747404,-1.1060700662710716,0.35370411948877484,1,0.4012281175807727,1.415186452961471,0.4550819916450282,0.5055389154534011,0.44497210209234944,-0.23490997359881433
66,0,0,3,1,1,0,0.0,0,12,13,5,3,0.0,1,0,0,1,1,1,-0.6159057152070485,0,-0.3113121790486066,0.12161458918853636,0.774118642653232,0,-2.1750170959725468,-0.37101983423498863,-4.398360108976492,-3.0233418682789956,-1.7697133631024018,-0.23490997359881433
67,0,14,1,3,1,13,0.0,0,12,26,9,9,0.0,1,0,0,1,1,0,0.076854167354404,0,-1.0236471597725936,0.12161458918853636,1.5574172805491155,0,0.4695881464671619,-0.37101983423498863,0.09160737073300991,0.19034279433801699,0.5992625156070168,-0.23490997359881433
68,0,0,3,8,1,0,0.0,0,0,27,7,7,0.0,0,0,1,1,1,0,-0.6159057152070485,0,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,1,0.36830503841319845,-0.37101983423498863,-0.20082234344761415,0.3895330061866227,0.25963353557025814,4.6639348761539
71,0,7,1,11,1,0,0.0,0,21,13,8,4,0.0,0,0,0,1,1,0,0.2319638572181003,0,0.8509185789747404,-1.1060700662710716,0.35370411948877484,0,0.49206418347030456,-0.37101983423498863,0.4550819916450282,0.26061229220679744,0.8470299467730539,-0.23490997359881433
72,0,0,1,1,1,0,0.0,0,12,13,5,10,0.0,1,0,0,1,1,0,-0.6159057152070485,0,1.4507796153738872,1.132649011331743,-1.7926226566666124,1,-2.1750170959725468,-0.37101983423498863,-4.398360108976492,-3.0233418682789956,-1.7697133631024018,-0.23490997359881433
73,0,7,4,10,1,0,0.0,0,22,26,5,7,0.0,1,0,0,1,1,0,-0.8108027818016886,0,0.2885488573505402,-0.5283361107606678,0.7962457228197825,1,0.4269667762913977,-0.37101983423498863,0.09160737073300991,0.7076304848405326,-0.7550399137660718,-0.23490997359881433
74,0,0,2,14,1,0,0.0,0,22,27,9,9,0.0,1,0,0,1,1,0,-0.8108027818016886,0,-0.3113121790486066,0.12161458918853636,0.774118642653232,0,0.45890356074500704,-0.37101983423498863,0.09160737073300991,0.4489866395892748,0.02752064147463172,-0.23490997359881433
75,0,7,3,8,1,0,0.0,0,12,13,4,7,0.0,1,0,1,1,1,0,-0.8108027818016886,0,-0.3113121790486066,0.12161458918853636,0.774118642653232,1,0.34096998161916925,-0.37101983423498863,-0.20082234344761415,0.4489866395892748,0.02752064147463172,-0.23490997359881433
76,0,8,4,10,1,0,0.0,0,12,26,7,7,0.0,1,0,0,1,1,1,-0.253759460374585,0,-0.8361905858978602,-1.4671537884650738,-1.3766335495354654,1,0.35223119549589843,-0.37101983423498863,0.09160737073300991,0.4489866395892748,-0.7550399137660718,-0.23490997359881433
77,0,7,4,14,1,0,0.0,0,0,13,9,8,0.0,1,0,1,1,1,1,-0.6159057152070485,0,-1.0236471597725936,0.12161458918853636,1.5574172805491155,0,0.5297417758569539,-0.37101983423498863,0.09160737073300991,-0.05033027649678355,0.5992625156070168,-0.23490997359881433
78,0,7,4,11,1,0,0.0,0,22,26,9,9,0.0,0,0,0,1,1,1,-0.08485788691433913,0,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,0,0.6097364199542276,-0.37101983423498863,0.4550819916450282,0.26061229220679744,0.8470299467730539,-0.23490997359881433
79,1,11,1,2,0,0,0.0,0,21,26,9,6,0.0,0,0,0,1,1,0,1.4003010973809378,0,-0.3113121790486066,0.12161458918853636,0.774118642653232,0,0.4269667762913977,-0.37101983423498863,0.09160737073300991,0.11553672812843996,0.5992625156070168,-0.23490997359881433
80,0,0,6,15,1,0,0.0,0,12,13,9,9,0.0,1,0,0,1,1,0,-0.4305196917739134,0,-0.3113121790486066,0.12161458918853636,0.774118642653232,1,0.4506370317586069,-0.37101983423498863,0.09160737073300991,0.19034279433801699,0.44497210209234944,-0.23490997359881433
81,0,11,1,16,0,1,0.0,0,2,2,2,2,0.0,1,0,0,1,1,0,1.6174836223410072,0,-0.3113121790486066,0.12161458918853636,0.774118642653232,1,-2.1750170959725468,-0.37101983423498863,-0.9920264664511365,-2.2199207026247425,-1.7697133631024018,-0.23490997359881433
82,0,11,1,3,1,3,0.0,0,2,2,4,2,0.0,0,0,1,1,1,0,0.2319638572181003,0,0.2885488573505402,-0.5283361107606678,0.7962457228197825,1,0.48413018567992866,3.029340815448851,1.2363116761946304,0.9937639599922703,1.042194090810962,-0.23490997359881433
84,1,11,1,2,0,0,0.0,0,21,26,9,6,0.0,1,0,0,1,0,0,1.4003010973809378,0,-0.8361905858978602,-1.4671537884650738,-1.3766335495354654,0,0.37007152995291964,-0.37101983423498863,0.09160737073300991,0.3895330061866227,0.44497210209234944,-0.23490997359881433
85,0,12,1,11,1,0,0.0,0,21,27,9,7,0.0,1,0,0,1,0,1,-0.08485788691433913,0,-0.3113121790486066,0.12161458918853636,0.774118642653232,0,0.5050179597101383,-0.37101983423498863,0.5612059506361214,0.26061229220679744,0.7314298216871751,-0.23490997359881433
86,0,11,1,13,1,0,0.0,0,0,13,4,5,0.0,0,0,0,1,0,1,0.38098922270875074,0,-0.8361905858978602,-1.4671537884650738,-1.3766335495354654,0,0.3735930215593132,-0.37101983423498863,-0.20082234344761415,0.11553672812843996,0.44497210209234944,-0.23490997359881433
87,0,7,1,4,1,0,0.0,0,12,27,4,0,0.0,1,0,0,1,1,0,-0.4305196917739134,0,-1.5110342518469009,0.9882155224541421,0.14570956592320122,0,0.36547063119562584,-0.37101983423498863,0.09160737073300991,0.19034279433801699,0.44497210209234944,-0.23490997359881433
90,0,11,1,11,1,0,0.0,0,0,0,4,10,0.0,0,0,0,1,1,0,0.2319638572181003,0,0.8509185789747404,-1.1060700662710716,0.35370411948877484,1,-2.1750170959725468,-0.37101983423498863,0.342106715835676,0.7530908891574698,-1.7697133631024018,-0.23490997359881433
91,0,7,2,14,1,0,0.0,13,12,0,9,9,0.0,1,0,0,0,0,0,-0.253759460374585,1,-1.0236471597725936,0.12161458918853636,1.5574172805491155,0,0.5441085675832871,-0.37101983423498863,0.09160737073300991,-0.05033027649678355,0.5992625156070168,-0.23490997359881433
92,0,5,1,7,1,0,0.0,13,0,0,4,4,0.0,0,0,0,1,0,0,0.5243896282393755,1,-1.0236471597725936,0.12161458918853636,1.5574172805491155,1,-0.09304118206842142,-0.37101983423498863,0.09160737073300991,0.0355676612599826,-1.7697133631024018,-0.23490997359881433
93,1,11,1,15,1,7,0.0,0,21,23,0,0,0.0,0,0,0,1,0,0,2.0178177338811847,0,-1.5110342518469009,0.9882155224541421,0.14570956592320122,1,-0.05224964446435768,-0.37101983423498863,0.09160737073300991,0.7968353912640186,-1.7697133631024018,2.5308555242735276
94,1,11,1,2,0,0,0.0,0,21,13,9,9,0.0,0,0,0,1,0,0,2.465353194766156,0,0.40102280167537985,1.7825997112809473,-0.7482244728054344,0,0.4445424177473639,1.0445151576443876,0.342106715835676,0.3895330061866227,0.5992625156070168,-0.23490997359881433
96,0,0,5,14,1,0,0.0,0,21,0,5,5,0.0,1,0,0,1,0,0,-0.8108027818016886,0,-1.0236471597725936,0.12161458918853636,1.5574172805491155,0,0.5297417758569539,-0.37101983423498863,0.09160737073300991,-0.05033027649678355,0.5992625156070168,-0.23490997359881433
97,0,0,5,11,1,0,0.0,0,21,26,7,7,0.0,1,0,0,1,0,1,-0.8108027818016886,0,0.2885488573505402,-0.5283361107606678,0.7962457228197825,0,0.5646377358111913,-0.37101983423498863,0.4550819916450282,0.26061229220679744,0.8470299467730539,-0.23490997359881433
99,0,0,4,11,1,0,0.0,0,2,2,2,2,0.0,1,0,1,0,0,0,-0.6159057152070485,0,0.8509185789747404,-1.1060700662710716,0.35370411948877484,1,-0.09554257863085393,-0.37101983423498863,0.342106715835676,0.3268641370706001,-1.7697133631024018,-0.23490997359881433
100,0,16,1,5,1,15,0.0,0,22,27,9,9,0.0,0,0,0,1,0,0,-0.253759460374585,0,-1.0236471597725936,0.12161458918853636,1.5574172805491155,1,0.5085963749493709,2.8307214448408473,0.8456968339198294,0.7968353912640186,0.44497210209234944,-0.23490997359881433
101,0,0,4,1,1,0,0.0,0,0,0,9,10,0.0,1,0,0,1,0,0,-0.4305196917739134,0,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,0,-2.1750170959725468,-0.37101983423498863,-4.398360108976492,-3.0233418682789956,-1.7697133631024018,-0.23490997359881433
102,1,11,1,2,0,0,0.0,0,21,26,6,5,0.0,1,0,0,1,0,0,1.7215904020034536,0,-0.8361905858978602,-1.4671537884650738,-1.3766335495354654,1,-2.1750170959725468,-0.37101983423498863,0.09160737073300991,-3.0233418682789956,-1.7697133631024018,-0.23490997359881433
103,3,11,1,3,1,8,0.0,0,21,26,9,6,0.0,0,0,0,1,0,0,2.37996398871365,0,1.4507796153738872,1.132649011331743,-1.7926226566666124,0,0.5819466537025316,3.723824588439077,1.6684425168004084,1.0640334578610509,1.2743069849065882,2.5308555242735276
104,0,8,1,15,1,0,0.0,0,12,13,9,7,0.0,1,0,0,1,0,0,-0.6159057152070485,0,-0.19883823472376694,-0.45611936632186734,0.8980302915859142,1,-2.1750170959725468,-0.37101983423498863,0.09160737073300991,-3.0233418682789956,-1.7697133631024018,-0.23490997359881433
105,0,15,1,4,1,0,0.0,0,2,0,2,8,0.0,0,0,1,1,0,0,-0.4305196917739134,0,-0.19883823472376694,-0.45611936632186734,0.8980302915859142,0,0.4779738987393278,2.5958045901161935,1.0125381817077652,0.6603140485314349,1.1262152226846742,-0.23490997359881433
106,0,0,2,9,1,0,0.0,0,21,27,4,7,0.0,1,0,0,1,0,0,-0.6159057152070485,0,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,1,-2.1750170959725468,-0.37101983423498863,0.09160737073300991,-3.0233418682789956,-1.7697133631024018,-0.23490997359881433
107,0,0,1,5,1,0,0.0,0,0,0,4,4,0.0,1,0,0,1,0,0,-0.4305196917739134,0,1.4507796153738872,1.132649011331743,-1.7926226566666124,1,0.5426832774152522,-0.37101983423498863,0.09160737073300991,1.029431135115433,0.25963353557025814,-0.23490997359881433
108,0,0,5,11,1,0,0.0,0,2,3,4,3,0.0,1,0,0,1,0,0,-0.4305196917739134,0,0.2885488573505402,-0.5283361107606678,0.7962457228197825,1,0.48719090779117774,1.0445151576443876,0.342106715835676,0.4489866395892748,0.44497210209234944,-0.23490997359881433
110,0,0,1,9,1,0,0.0,0,21,26,6,7,0.0,1,0,0,1,0,0,-0.8108027818016886,0,0.8509185789747404,-1.1060700662710716,0.35370411948877484,0,0.5819466537025316,-0.37101983423498863,0.09160737073300991,0.11553672812843996,0.5992625156070168,-0.23490997359881433
112,0,0,1,5,1,0,0.0,0,12,13,9,9,0.0,1,0,0,1,0,0,-0.6159057152070485,0,-0.3113121790486066,0.12161458918853636,0.774118642653232,0,0.5062125184866457,-0.37101983423498863,-0.20082234344761415,-0.14310711712281785,0.44497210209234944,-0.23490997359881433
113,0,0,3,14,1,0,0.0,0,0,27,4,7,0.0,1,0,0,1,0,0,-0.8108027818016886,0,-0.3113121790486066,0.12161458918853636,0.774118642653232,0,0.4770464152537612,-0.37101983423498863,0.09160737073300991,0.0355676612599826,0.5992625156070168,-0.23490997359881433
114,0,7,2,11,1,0,0.0,0,21,26,9,9,0.0,1,0,0,1,0,0,-0.8108027818016886,0,-1.5110342518469009,0.9882155224541421,0.14570956592320122,1,0.4708359599982764,-0.37101983423498863,0.342106715835676,0.11553672812843996,0.5992625156070168,2.5308555242735276
118,0,0,2,5,1,0,0.0,0,21,27,9,7,0.0,0,0,0,1,0,0,-0.8108027818016886,0,-0.8361905858978602,-1.4671537884650738,-1.3766335495354654,0,0.45509869811181825,-0.37101983423498863,-0.20082234344761415,0.3895330061866227,0.44497210209234944,-0.23490997359881433
119,0,0,1,8,1,0,0.0,0,1,13,4,5,0.0,0,0,0,1,0,0,-0.8108027818016886,0,-0.19883823472376694,-0.45611936632186734,0.8980302915859142,0,0.5180624010889433,-0.37101983423498863,-0.20082234344761415,-0.2439612847322383,0.44497210209234944,-0.23490997359881433
120,0,7,1,10,1,0,0.0,0,0,0,4,5,0.0,1,0,0,1,0,0,-0.253759460374585,0,-0.8361905858978602,-1.4671537884650738,-1.3766335495354654,1,0.37007152995291964,-0.37101983423498863,0.09160737073300991,0.7076304848405326,-0.28324362764915506,-0.23490997359881433
121,0,0,2,8,1,0,0.0,0,12,13,9,7,0.0,1,0,0,1,0,0,-0.6159057152070485,0,1.7132188187985138,-0.6727695996382688,-0.40304202220724833,0,0.3718341854602205,-0.37101983423498863,-0.20082234344761415,0.3268641370706001,0.25963353557025814,3.8168632452994014
